COUNTY20,BLOCK20,CIT_22,NH_CIT_22,NH_Ind_CIT_22,NH_Asn_CIT_22,NH_Blk_CIT_22,NH_Hwn_CIT_22,NH_Wht_CIT_22,NH_IndWht_CIT_22,NH_AsnWht_CIT_22,NH_BlkWht_CIT_22,NH_IndBlk_CIT_22,NH_OthMR_CIT_22,Hsp_CIT_22,CVAP_22,NH_CVAP_22,NH_Ind_CVAP_22,NH_Asn_CVAP_22,NH_Blk_CVAP_22,NH_Hwn_CVAP_22,NH_Wht_CVAP_22,NH_IndWht_CVAP_22,NH_AsnWht_CVAP_22,NH_BlkWht_CVAP_22,NH_IndBlk_CVAP_22,NH_OthMR_CVAP_22,Hsp_CVAP_22,DOJ_NH_Ind_CIT_22,DOJ_NH_Blk_CIT_22,DOJ_NH_Asn_CIT_22,DOJ_NH_Ind_CVAP_22,DOJ_NH_Blk_CVAP_22,DOJ_NH_Asn_CVAP_22
001,060014001001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001009,11,9,0,0,9,0,0,0,0,0,0,0,2,8,6,0,0,9,0,0,0,0,0,0,0,1,0,9,0,0,9,0
001,060014001001010,136,130,0,8,0,1,118,0,5,0,0,0,5,102,97,0,7,0,1,88,0,2,0,0,0,4,0,0,13,0,0,9
001,060014001001011,158,158,0,15,6,0,127,1,8,0,0,0,3,118,117,0,13,6,0,95,1,2,0,0,0,2,1,6,23,1,6,15
001,060014001001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001013,22,20,0,3,6,0,11,0,0,0,0,0,1,16,15,0,3,6,0,8,0,0,0,0,0,1,0,6,3,0,6,3
001,060014001001014,25,26,0,0,0,0,19,0,5,0,0,0,0,18,19,0,0,0,0,14,0,2,0,0,0,0,0,0,5,0,0,2
001,060014001001015,21,21,0,1,0,0,13,1,0,0,0,0,0,15,16,0,1,0,0,10,1,0,0,0,0,0,1,0,1,1,0,1
001,060014001001016,56,53,0,3,0,0,49,0,1,0,0,0,2,42,40,0,3,0,0,36,0,0,0,0,0,2,0,0,4,0,0,3
001,060014001001017,38,32,0,4,0,0,25,0,0,0,0,0,4,28,24,0,4,0,0,19,0,0,0,0,0,3,0,0,4,0,0,4
001,060014001001018,353,350,0,30,18,0,299,0,14,0,0,0,9,266,260,0,25,18,0,224,0,4,0,0,0,7,0,18,44,0,18,29
001,060014001001019,166,165,0,30,0,0,122,0,4,0,30,0,3,124,123,0,25,0,0,91,0,1,0,10,0,3,0,0,34,0,0,26
001,060014001001020,39,34,0,0,9,0,30,0,0,0,0,0,3,29,25,0,0,9,0,22,0,0,0,0,0,3,0,9,0,0,9,0
001,060014001001021,25,20,0,3,8,0,7,0,2,0,0,0,3,18,15,0,2,8,0,5,0,1,0,0,0,2,0,8,5,0,8,3
001,060014001001022,37,35,0,3,2,0,21,0,5,0,0,0,2,28,26,0,2,2,0,16,0,2,0,0,0,1,0,2,8,0,2,4
001,060014001001023,192,188,0,28,8,0,127,0,11,0,0,0,5,143,140,0,24,8,0,95,0,3,0,0,0,4,0,8,39,0,8,27
001,060014001001024,16,17,0,6,0,0,8,0,0,0,0,0,0,12,13,0,5,0,0,6,0,0,0,0,0,0,0,0,6,0,0,5
001,060014001001025,38,32,0,0,6,0,30,0,0,0,0,0,4,28,24,0,0,6,0,22,0,0,0,0,0,3,0,6,0,0,6,0
001,060014001001026,196,189,0,40,7,0,121,0,14,0,0,0,7,148,141,0,34,7,0,90,0,5,0,0,0,6,0,7,54,0,7,39
001,060014001001027,70,68,0,8,5,0,58,0,0,0,0,0,2,52,51,0,7,5,0,43,0,0,0,0,0,2,0,5,8,0,5,7
001,060014001001028,13,12,0,1,0,0,5,0,0,0,0,0,1,10,9,0,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0,1
001,060014001001029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,060014001001030,210,199,0,22,0,0,171,1,11,0,0,0,9,158,148,0,19,0,0,127,1,3,0,0,0,7,1,0,33,1,0,22
001,060014001001031,15,11,0,0,0,0,9,0,0,0,0,0,3,12,8,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0
