,Total voting-age population,Place,Census tract,Number of voters,Voting-age residents who voted in 2022 (%),American Indian or Alaska Native %,Asian (%),Black (%),Native Hawaiian or other Pacific Islander (%),White (%),Hispanic or Latino (%),Mixed race (%),Below poverty level (%),Median age
0,2955,"Buhach, Atwater, Merced County",06047000802,1074,36.3,0.1,6.3,3.5,0.0,41.2,46.1,3.0,12.4,34.1
1,1671,"Naglee Park, Little Portugal, San Jose, Santa Clara County",06085501402,490,29.3,0.0,8.1,2.1,0.0,41.7,46.9,1.3,11.7,40.4
2,2847,"Merced, Merced County",06047001003,537,18.9,0.0,10.2,12.5,0.0,29.4,42.0,6.2,30.3,28.7
3,2324,"Merced, Merced County",06047001401,698,30.0,0.2,2.6,7.1,1.1,38.2,47.9,2.8,34.3,39.6
4,2842,Merced County,06047001402,1287,45.3,0.0,12.9,5.6,0.0,43.5,37.1,1.2,25.5,30.2
5,1556,"Merced, Merced County",06047001501,469,30.1,4.5,9.0,2.7,7.4,10.3,64.8,1.2,8.3,34.6
6,1487,"Merced, Merced County",06047001601,217,14.6,0.0,7.4,10.0,0.0,9.8,69.7,2.4,37.8,25.0
7,1965,"Kensington, Contra Costa County",06013392000,1634,83.2,1.2,11.2,3.0,0.0,74.1,4.2,5.8,4.1,49.7
8,3878,"Burton Valley, Lafayette, Contra Costa County",06013351200,3515,90.6,0.0,6.9,0.1,0.0,85.8,5.6,1.5,3.8,46.9
9,1654,"Cupertino, Santa Clara County",06085508102,874,52.8,0.1,44.1,1.6,0.0,44.4,6.5,3.3,3.6,34.8
10,2766,"Merced, Merced County",06047001004,889,32.1,0.4,5.2,9.1,0.0,37.6,42.6,5.1,26.0,35.6
11,1579,"Merced, Merced County",06047001005,398,25.2,0.6,8.9,7.0,0.0,35.3,44.6,3.4,24.8,30.6
12,4989,"Merced, Merced County",06047001101,1905,38.2,0.7,3.9,2.2,0.0,52.0,39.9,1.3,12.2,40.9
13,3520,"Merced, Merced County",06047001200,1668,47.4,0.6,5.5,2.2,0.0,44.2,45.3,2.1,10.6,32.8
14,2322,"Merced, Merced County",06047001301,638,27.5,3.0,1.5,1.4,0.0,43.3,50.3,0.7,29.3,31.9
15,1832,"Merced, Merced County",06047001302,495,27.0,0.0,2.2,4.2,0.0,25.3,65.0,3.6,38.2,32.8
16,3850,"Merced, Merced County",06047001700,989,25.7,0.0,5.8,3.7,0.0,40.2,48.5,1.7,35.6,26.5
17,4184,Merced County,06047001801,1324,31.6,0.0,14.7,5.4,0.0,26.2,50.0,3.7,16.8,20.1
18,3170,"Los Banos, Merced County",06047002201,960,30.3,0.0,1.5,1.4,0.0,40.7,55.3,1.3,22.3,29.6
19,4710,"Milpitas, Santa Clara County",06085504505,1666,35.4,0.0,66.6,3.3,0.0,14.7,13.1,2.2,5.0,31.9
20,1883,"Alum Rock, San Jose, Santa Clara County",06085503903,716,38.0,0.2,49.5,0.5,0.0,14.2,34.3,0.7,10.3,41.1
21,2334,"El Cerrito, Contra Costa County",06013386000,1055,45.2,0.2,29.6,9.0,1.7,38.6,16.8,3.5,17.2,37.1
22,1447,"Orinda, Contra Costa County",06013354001,1041,71.9,0.0,11.1,0.1,0.0,80.9,5.3,2.8,2.6,44.3
23,2848,"Ozol, Contra Costa County",06013318000,1505,52.8,0.0,6.0,3.8,0.0,74.7,13.8,2.1,8.4,42.8
24,3839,"Nichols, Bay Point, Contra Costa County",06013314200,889,23.2,0.3,5.6,2.1,0.0,21.9,67.7,2.4,22.3,30.7
25,3007,"Port Costa, Contra Costa County",06013357000,1450,48.2,0.0,3.7,7.7,0.0,71.1,15.0,2.2,6.7,49.7
26,2226,"Concord, Contra Costa County",06013337100,1443,64.8,0.0,14.6,6.8,0.0,50.3,23.0,5.5,4.9,47.5
27,5813,"Richmond, Contra Costa County",06013363000,2345,40.3,0.0,21.6,21.3,0.0,34.8,18.2,4.1,6.8,45.8
28,5081,"Martinez, Contra Costa County",06013321101,3061,60.2,0.4,8.1,3.2,0.0,61.4,18.8,8.1,4.7,40.5
29,2213,"Vine Hill, Contra Costa County",06013320001,1082,48.9,0.0,5.0,0.6,0.0,73.9,16.0,4.5,6.2,39.3
30,5432,"Antioch, Contra Costa County",06013307205,1406,25.9,0.0,5.8,21.8,0.0,37.3,29.0,6.3,9.8,36.8
31,2591,"Walnut Creek, Contra Costa County",06013355302,1823,70.4,0.9,25.9,1.2,0.6,66.0,2.3,3.0,2.3,45.1
32,3260,"Antioch, Contra Costa County",06013307101,1240,38.0,0.0,10.1,15.5,0.0,43.4,29.6,1.4,18.8,36.6
33,3462,"Saranap, Contra Costa County",06013341000,2772,80.1,0.4,17.2,4.2,0.0,67.2,5.7,4.9,4.3,44.9
34,2479,"El Cerrito, Contra Costa County",06013385100,1653,66.7,0.0,25.8,4.7,0.0,53.5,10.7,5.2,9.6,50.0
35,2445,"Richmond, Contra Costa County",06013365002,556,22.7,0.0,8.0,29.7,5.5,6.6,44.3,5.4,16.6,31.8
36,2365,"Antioch, Contra Costa County",06013307201,506,21.4,0.0,0.8,13.1,0.0,37.5,41.1,7.4,18.3,31.8
37,5239,"Antioch, Contra Costa County",06013308001,1974,37.7,0.0,14.7,9.2,0.0,34.8,38.9,2.2,6.1,39.8
