Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06001400200,Census Tract 4002; Alameda County; California,2147,201,43.4,6.7
1400000US06001400300,Census Tract 4003; Alameda County; California,5619,571,37.8,3.3
1400000US06001400400,Census Tract 4004; Alameda County; California,4278,598,37.4,3.0
1400000US06001400500,Census Tract 4005; Alameda County; California,3949,737,37.1,2.2
1400000US06001400600,Census Tract 4006; Alameda County; California,2058,301,35.8,2.2
1400000US06001400700,Census Tract 4007; Alameda County; California,4758,572,36.6,1.8
1400000US06001400800,Census Tract 4008; Alameda County; California,4335,593,35.7,2.0
1400000US06001400900,Census Tract 4009; Alameda County; California,2844,496,35.1,1.6
1400000US06001401000,Census Tract 4010; Alameda County; California,6277,896,35.6,2.0
1400000US06001401100,Census Tract 4011; Alameda County; California,5537,544,34.4,1.7
1400000US06001401200,Census Tract 4012; Alameda County; California,2994,329,37.0,5.0
1400000US06001401300,Census Tract 4013; Alameda County; California,4608,404,35.2,2.6
1400000US06001401400,Census Tract 4014; Alameda County; California,5392,777,31.1,2.5
1400000US06001401500,Census Tract 4015; Alameda County; California,3035,613,33.1,2.9
1400000US06001401600,Census Tract 4016; Alameda County; California,2403,385,31.8,1.6
1400000US06001401700,Census Tract 4017; Alameda County; California,3276,493,37.1,2.1
1400000US06001401800,Census Tract 4018; Alameda County; California,1709,273,33.8,3.0
1400000US06001402200,Census Tract 4022; Alameda County; California,2337,393,34.4,1.7
1400000US06001402400,Census Tract 4024; Alameda County; California,2623,532,42.4,3.9
1400000US06001402500,Census Tract 4025; Alameda County; California,2010,363,32.5,2.5
1400000US06001402600,Census Tract 4026; Alameda County; California,1300,263,43.7,9.2
1400000US06001402700,Census Tract 4027; Alameda County; California,2039,376,35.2,4.4
1400000US06001402801,Census Tract 4028.01; Alameda County; California,3254,626,34.3,4.3
1400000US06001402802,Census Tract 4028.02; Alameda County; California,1430,248,43.9,16.6
1400000US06001402900,Census Tract 4029; Alameda County; California,1828,259,40.1,3.4
1400000US06001403000,Census Tract 4030; Alameda County; California,2897,466,51.7,5.8
1400000US06001403100,Census Tract 4031; Alameda County; California,1941,284,39.3,4.4
1400000US06001403301,Census Tract 4033.01; Alameda County; California,1830,382,57.8,12.1
1400000US06001403302,Census Tract 4033.02; Alameda County; California,2556,318,34.6,1.6
1400000US06001403401,Census Tract 4034.01; Alameda County; California,2717,387,48.2,8.1
1400000US06001403402,Census Tract 4034.02; Alameda County; California,1134,175,38.9,2.1
1400000US06001403501,Census Tract 4035.01; Alameda County; California,4904,684,38.9,2.2
1400000US06001403502,Census Tract 4035.02; Alameda County; California,1919,262,37.3,3.6
1400000US06001403600,Census Tract 4036; Alameda County; California,5056,687,38.3,2.7
1400000US06001403701,Census Tract 4037.01; Alameda County; California,2909,348,36.5,3.7
1400000US06001403702,Census Tract 4037.02; Alameda County; California,2238,262,35.7,2.7
1400000US06001403800,Census Tract 4038; Alameda County; California,4008,438,40.4,1.7
1400000US06001403900,Census Tract 4039; Alameda County; California,3883,701,38.8,5.2
1400000US06001404000,Census Tract 4040; Alameda County; California,3145,395,38.2,2.3
1400000US06001404101,Census Tract 4041.01; Alameda County; California,3208,349,43.0,4.5
1400000US06001404102,Census Tract 4041.02; Alameda County; California,2701,352,41.1,5.4
1400000US06001404200,Census Tract 4042; Alameda County; California,3894,388,43.5,4.8
1400000US06001404300,Census Tract 4043; Alameda County; California,3587,368,47.9,2.3
1400000US06001404400,Census Tract 4044; Alameda County; California,5823,604,44.4,3.4
1400000US06001404501,Census Tract 4045.01; Alameda County; California,1820,205,51.1,2.8
1400000US06001404502,Census Tract 4045.02; Alameda County; California,6110,776,47.6,5.7
1400000US06001404600,Census Tract 4046; Alameda County; California,4934,605,48.1,1.7
1400000US06001404700,Census Tract 4047; Alameda County; California,2187,262,50.8,3.2
1400000US06001404800,Census Tract 4048; Alameda County; California,2744,404,45.4,3.3
1400000US06001404900,Census Tract 4049; Alameda County; California,4669,462,44.9,2.7
1400000US06001405000,Census Tract 4050; Alameda County; California,3665,329,43.6,2.0
1400000US06001405100,Census Tract 4051; Alameda County; California,4508,405,43.6,1.2
1400000US06001405200,Census Tract 4052; Alameda County; California,4913,1030,39.7,3.5
1400000US06001405301,Census Tract 4053.01; Alameda County; California,2872,474,35.6,2.0
1400000US06001405302,Census Tract 4053.02; Alameda County; California,2559,347,38.1,4.2
1400000US06001405401,Census Tract 4054.01; Alameda County; California,3541,471,36.4,4.0
1400000US06001405402,Census Tract 4054.02; Alameda County; California,3673,638,37.1,3.5
1400000US06001405500,Census Tract 4055; Alameda County; California,3537,503,38.1,2.9
1400000US06001405600,Census Tract 4056; Alameda County; California,3044,524,37.6,1.3
1400000US06001405700,Census Tract 4057; Alameda County; California,3522,549,35.6,5.2
1400000US06001405800,Census Tract 4058; Alameda County; California,4182,682,36.3,4.5
1400000US06001405901,Census Tract 4059.01; Alameda County; California,3757,624,33.7,4.9
1400000US06001405902,Census Tract 4059.02; Alameda County; California,3138,431,35.3,5.4
1400000US06001406000,Census Tract 4060; Alameda County; California,4735,518,43.8,3.8
1400000US06001406100,Census Tract 4061; Alameda County; California,4939,600,34.6,5.2
1400000US06001406201,Census Tract 4062.01; Alameda County; California,5072,747,33.1,2.5
1400000US06001406202,Census Tract 4062.02; Alameda County; California,4733,671,34.9,5.5
1400000US06001406300,Census Tract 4063; Alameda County; California,4556,743,36.2,2.5
1400000US06001406400,Census Tract 4064; Alameda County; California,2598,542,46.1,6.7
1400000US06001406500,Census Tract 4065; Alameda County; California,6494,812,39.2,5.6
1400000US06001406601,Census Tract 4066.01; Alameda County; California,4531,661,41.3,3.2
1400000US06001406602,Census Tract 4066.02; Alameda County; California,2540,401,36.2,3.2
1400000US06001406700,Census Tract 4067; Alameda County; California,5380,695,43.2,2.7
1400000US06001406800,Census Tract 4068; Alameda County; California,3971,510,39.3,3.9
1400000US06001406900,Census Tract 4069; Alameda County; California,3865,546,44.6,1.7
1400000US06001407000,Census Tract 4070; Alameda County; California,6202,893,35.2,3.7
1400000US06001407101,Census Tract 4071.01; Alameda County; California,4053,794,35.8,4.7
1400000US06001407102,Census Tract 4071.02; Alameda County; California,4268,900,34.0,6.2
1400000US06001407200,Census Tract 4072; Alameda County; California,6544,798,32.4,3.2
1400000US06001407300,Census Tract 4073; Alameda County; California,2459,430,35.1,3.5
1400000US06001407400,Census Tract 4074; Alameda County; California,4242,669,38.7,3.9
1400000US06001407500,Census Tract 4075; Alameda County; California,3988,662,30.2,4.7
1400000US06001407600,Census Tract 4076; Alameda County; California,6459,849,33.3,5.2
1400000US06001407700,Census Tract 4077; Alameda County; California,4238,419,41.3,1.5
1400000US06001407800,Census Tract 4078; Alameda County; California,2769,334,29.9,3.1
1400000US06001407900,Census Tract 4079; Alameda County; California,3088,376,42.2,4.5
1400000US06001408000,Census Tract 4080; Alameda County; California,2860,395,46.8,3.5
1400000US06001408100,Census Tract 4081; Alameda County; California,7313,718,44.0,2.7
1400000US06001408200,Census Tract 4082; Alameda County; California,4471,684,41.2,4.0
1400000US06001408300,Census Tract 4083; Alameda County; California,4791,599,38.7,5.2
1400000US06001408400,Census Tract 4084; Alameda County; California,4077,613,35.9,4.2
1400000US06001408500,Census Tract 4085; Alameda County; California,5634,1069,33.9,3.1
1400000US06001408600,Census Tract 4086; Alameda County; California,6519,950,34.3,4.7
1400000US06001408700,Census Tract 4087; Alameda County; California,7456,1271,37.4,3.9
1400000US06001408800,Census Tract 4088; Alameda County; California,7968,1019,27.7,1.7
1400000US06001408900,Census Tract 4089; Alameda County; California,3956,536,31.5,4.7
1400000US06001409000,Census Tract 4090; Alameda County; California,5039,1118,30.3,2.1
1400000US06001409100,Census Tract 4091; Alameda County; California,2532,369,34.4,2.1
1400000US06001409200,Census Tract 4092; Alameda County; California,3615,486,34.6,4.1
1400000US06001409300,Census Tract 4093; Alameda County; California,5743,681,31.7,3.5
1400000US06001409400,Census Tract 4094; Alameda County; California,4710,892,31.3,4.6
1400000US06001409500,Census Tract 4095; Alameda County; California,4291,648,33.6,1.9
1400000US06001409600,Census Tract 4096; Alameda County; California,5139,663,33.9,1.4
1400000US06001409700,Census Tract 4097; Alameda County; California,5240,1012,31.8,6.4
1400000US06001409800,Census Tract 4098; Alameda County; California,3511,594,35.9,4.1
1400000US06001409900,Census Tract 4099; Alameda County; California,3983,563,46.1,6.3
1400000US06001410000,Census Tract 4100; Alameda County; California,3177,536,50.9,5.0
1400000US06001410100,Census Tract 4101; Alameda County; California,3172,401,36.8,1.9
1400000US06001410200,Census Tract 4102; Alameda County; California,3238,501,36.6,6.0
1400000US06001410300,Census Tract 4103; Alameda County; California,3893,418,29.2,3.2
1400000US06001410400,Census Tract 4104; Alameda County; California,4687,823,36.9,4.6
1400000US06001410500,Census Tract 4105; Alameda County; California,3081,417,29.8,1.9
1400000US06001420100,Census Tract 4201; Alameda County; California,2631,296,44.8,2.4
1400000US06001420200,Census Tract 4202; Alameda County; California,3275,408,40.3,1.8
1400000US06001420301,Census Tract 4203.01; Alameda County; California,2645,351,39.5,3.5
1400000US06001420302,Census Tract 4203.02; Alameda County; California,2446,338,39.4,3.1
1400000US06001420401,Census Tract 4204.01; Alameda County; California,1333,213,26.9,1.8
1400000US06001420402,Census Tract 4204.02; Alameda County; California,1661,244,28.2,0.5
1400000US06001420500,Census Tract 4205; Alameda County; California,2548,254,38.3,3.1
1400000US06001420600,Census Tract 4206; Alameda County; California,3488,343,44.5,2.9
